CHROMA|COLOR|L|a|b
205|Joseph Z's Neutral Grey|39|-2.45|6.37
206|Joseph Z's Cool Grey|38|-6.23|0.19
207|Ivory Black|47|1.24|6.07
208|Lamp Black|28|0.13|0.73
209|Lunar Black|65|0.66|1.48
210|Black Tourmaline Genuine|65|-1.32|0.91
211|Gray Titanium|73|0.16|16.54
212|Chinese White|97|-0.63|3.48
213|Titanium White|96|-0.49|5.42
93|Phthalo Blue Turquoise|57|-37|-22
